"","revenuegrowth","nopat","nopatmargin","investedcapital","investedcapitalturnover","investedcapitalincreasedecrease","freecashflow","netnonopex","netnonopobligations","ebit","depreciationandamortization","ebitda","capex","dfcfnwc","dfnwc","nwc","debt","ltdebtandcapleases","netdebt","totalcapital","marketcap","enterprisevalue","pricetorevenue","pricetoearnings","dividendyield","earningsyield","evtoinvestedcapital","evtorevenue","evtoebitda","evtoebit","evtonopat","evtoocf","evtofcff","ebitdagrowth","ebitgrowth","nopatgrowth","netincomegrowth","epsgrowth","ocfgrowth","fcffgrowth","investedcapitalgrowth","revenueqoqgrowth","ebitdaqoqgrowth","ebitqoqgrowth","nopatqoqgrowth","netincomeqoqgrowth","epsqoqgrowth","ocfqoqgrowth","fcffqoqgrowth","investedcapitalqoqgrowth","grossmargin","ebitdamargin","operatingmargin","ebitmargin","profitmargin","costofrevtorevenue","sgaextorevenue","rdextorevenue","opextorevenue","taxburdenpct","interestburdenpct","efftaxrate","assetturnover","arturnover","invturnover","faturnover","apturnover","dso","dio","dpo","ccc","finleverage","leverageratio","compoundleveragefactor","ltdebttoequity","debttoequity","roic","nnep","roicnnepspread","rnnoa","roe","croic","oroa","roa","noncontrollinginterestsharingratio","roce","divpayoutratio","augmentedpayoutratio","ocftocapex","stdebttocap","ltdebttocap","debttototalcapital","preferredtocap","noncontrolinttocap","commontocap","debttoebitda","netdebttoebitda","ltdebttoebitda","debttonopat","netdebttonopat","ltdebttonopat","altmanzscore","ebittointerestex","nopattointerestex","ebitlesscapextointerestex","nopatlesscapextointex","ocftointerestex","ocflesscapextointerestex","fcfftointerestex","currentratio","quickratio","dfcfnwctorev","dfnwctorev","nwctorev","normalizednopat","normalizednopatmargin","pretaxincomemargin","adjweightedavebasicsharesos","adjbasiceps","adjweightedavedilutedsharesos","adjdilutedeps","adjweightedavebasicdilutedsharesos","adjbasicdilutedeps","tangbookpriceratio","bookpriceratio","growth","CPIUSA","DGS10","DGS1","GDPC1","DGS5"
"1",-0.193077,69069950.1,0.047559,1515400000,0.9574,-3e+06,72069950.1,4569950.1,513300000,100900000,74100000,1.75e+08,19200000,768600000,861200000,814900000,635300000,5.89e+08,513300000,1637400000,948800952.7,1462900952.7,0.6533,14.7558,0.015296,0.06777,0.9654,1.0073,8.3594,14.4985,21.18,13.9991,20.2983,-0.229754,-0.043602,-0.00373,0.135563,0.125,-0.381291,-0.370175,-0.001976,-0.086431,-0.131082,-0.107869,-0.103976,-0.069264,-0.068966,-0.179104,-0.060181,-0.003026,0.167183,0.120499,0.069476,0.069476,0.044412,0.832817,0.100599,0,0.097707,0.804239,0.794846,0.315461,0.6626,4.5448,2.3748,4.5894,6.8702,80.3111,153.6953,53.1279,180.8784,0.5405,2.226,1.7693,0.5878,0.634,0.045534,0.008586,0.036948,0.019972,0.065506,0.047511,0.046035,0.029428,0.000914,0.065446,0.182946,0.224806,5.442708,0.028277,0.359717,0.387993,0,0.000489,0.611518,3.6303,2.9331,3.3657,9.1979,7.4316,8.5276,2.1257,5.096,3.4884,4.1263,2.5187,5.2778,4.3081,3.6399,3.0378,1.03,0.529229,0.59299,0.56111,69069950.1,0.047559,0.055223,38700000,1.63,38700000,1.62,38700000,1.63,0.581419806421925,0.971915442529852,"0",1.62222297740821,2.53956,0.12112,2.52597,1.6416
"2",0.030015,1776361795.1,0.087735,2.3104e+10,0.8626,-7.37e+08,2513361795.1,-507638204.9,1.465e+09,2.609e+09,1.548e+09,4.157e+09,1.077e+09,3.066e+09,7.526e+09,3.089e+09,7.83e+09,3.393e+09,3.141e+09,2.9469e+10,62239921360.7,65493921360.7,3.074,27.2504,0.02159,0.036697,2.8347,3.2347,15.7551,25.1031,36.8697,17.8215,26.0583,0.083116,0.231241,-0.144998,-0.113354,-0.080247,0.105596,-0.755951,-0.030913,0.071327,0.105585,0.19624,0.219237,0.15998,0.173228,-0.095273,3.893868,-0.045368,0.544723,0.205314,0.128365,0.128859,0.112807,0.455277,0.322517,0.06643,0.416358,0.907069,0.965121,0.316521,0.4812,5.3479,3.455,3.4201,8.8211,68.2516,105.6433,41.3783,132.5166,8e-04,1.7942,1.7316,0.1568,0.3618,0.075678,-26.032728,26.108407,0.021708,0.097386,0.107077,0.062001,0.054278,0.004456,0.096952,0.587566,1.548599,3.412256,0.150565,0.115138,0.265703,0,0.003835,0.730463,1.8836,0.7556,0.8162,4.4079,1.7682,1.9101,3.4758,15.5298,10.5736,9.119,4.1629,21.875,15.4643,14.9605,1.2951,0.7687,0.15143,0.371709,0.152566,1776361795.1,0.087735,0.124364,1.516e+09,1.5,1.527e+09,1.49,1522700000,1.5,0.0845273095624794,0.345854651313765,"1",1.62222297740821,2.53956,0.12112,2.52597,1.6416
"9",0.028612,1011615512,0.096765,1.239e+10,0.8452,40600000,971015512,-19884488,4.598e+09,1383500000,958200000,2341700000,1418100000,1234200000,1.473e+09,135300000,6.089e+09,4751300000,4.598e+09,1.3881e+10,25678364303.9,30716864303.9,2.4562,25.0252,0.02598,0.03996,2.4792,2.9382,13.1173,22.2023,30.3642,14.4177,31.6338,0.036013,0.034315,-0.020851,-0.012352,0.008475,0.170026,5.782347,0.003288,0.001466,0.019904,0.033157,0.035626,0.038667,0.032538,-0.027213,0.147074,0.004654,0.273505,0.223994,0.132338,0.132338,0.098668,0.726495,0.098715,0.013554,0.141167,0.726972,1.025587,0.2688,0.5881,5.6467,10.826,1.1146,4.332,64.6395,33.715,84.2576,14.097,0.5886,2.2828,2.3412,0.6098,0.7814,0.081782,-0.004339,0.08612,0.050688,0.132469,0.0785,0.077833,0.05803,0.061509,0.124321,0.622588,0.622588,1.502362,0.096369,0.342288,0.438657,0,0.031734,0.529609,2.6002,1.9635,2.029,6.0191,4.5452,4.6967,3.232,11.4433,8.3674,-0.2862,-3.3622,17.622,5.8925,8.0316,1.0451,0.6037,0.118057,0.140899,0.012942,1262270949.3,0.120742,0.135724,214200000,4.81,216600000,4.76,213600000,4.81,0.215273411491354,0.284350277886663,"0",1.62222297740821,2.53956,0.12112,2.52597,1.6416
"20",0.105654,1952656465.1,0.11922,36238200000,0.4591,1125200000,827456465.1,314656465.1,19413700000,3127400000,2e+09,5127400000,64800000,-190200000,357900000,-3488500000,19858400000,1.6012e+10,19310300000,36682900000,25479616190.7,44794216190.7,1.5557,15.5953,0.038951,0.064122,1.2361,2.7349,8.7362,14.3231,22.9401,9.7094,54.1348,0.107382,0.108025,0.023017,0.103625,0.098684,0.123682,0.710598,0.032045,0.018411,-0.035514,-0.06881,-0.093472,-0.086549,-0.089918,-0.036988,0.564207,0.0074,0.442913,0.313055,0.190944,0.190944,0.100009,0.557087,0,0,0.251969,0.681676,0.768338,0.375629,0.2825,8.8648,6.661,0.3871,7.2295,41.1741,54.7962,50.4879,45.4824,1.168,3.5235,2.7072,0.9517,1.1803,0.054734,0.016371,0.038363,0.044809,0.099543,0.023194,0.05394,0.028251,0.000565,0.099486,0.609035,0.609035,71.195988,0.104855,0.436498,0.541353,0,0.000117,0.45853,3.873,3.7661,3.1228,10.1699,9.8892,8.2001,0.9101,3.603,2.2496,3.5283,2.1749,5.3151,5.2404,0.9533,0.5621,0.2992,-0.011613,0.021852,-0.212991,1952656465.1,0.11922,0.14671,488592997,3.34,488899840,3.34,489200000,3.34,0.663403481494841,0.66548092119512,"0",1.62222297740821,2.53956,0.12112,2.52597,1.6416
"33",0.223808,43743624.9,0.048515,351240000,2.7248,40665000,3078624.9,-923375.1,-22960000,57346000,28532000,85878000,43989000,98471000,132781000,132733000,22553000,22505000,-22496000,396753000,1256638144.7,1234142144.7,1.3937,28.1335,0.011448,0.035545,3.5137,1.3688,14.3709,21.521,28.2131,26.0946,400.8745,0.424344,0.686399,0.741811,0.834826,0.831325,-0.215776,1.132465,0.130935,0.052505,0.120114,0.157313,0.108755,0.1002,0.101449,-0.174305,1.068967,-0.011497,0.215554,0.095245,0.062156,0.063601,0.049539,0.784446,0.153398,0,0.153398,0.780537,0.997907,0.219463,1.5853,5.6389,13.9188,4.9018,13.3598,64.7285,26.2234,27.3208,63.6311,-0.0826,1.5769,1.5736,0.0601,0.0603,0.132193,0.031002,0.101191,-0.008356,0.123837,0.009304,0.100824,0.078532,0,0.123837,0.263528,0.41787,1.075155,0.000121,0.056723,0.056844,0,0,0.943156,0.2626,-0.262,0.2621,0.5156,-0.5143,0.5145,6.1457,54.049,41.2287,12.5891,-0.2313,44.5759,3.1159,2.9016,1.9259,1.4601,0.109211,0.147264,0.14721,43743624.9,0.048515,0.063468,28725000,1.55,29358000,1.52,29200000,1.55,0.230668622431156,0.317878879078164,"1",1.62222297740821,2.53956,0.12112,2.52597,1.6416
"35",0.20815,1125303867.4,0.124041,6.254e+09,1.4002,-4.5e+08,1575303867.4,53303867.4,-1.614e+09,1.543e+09,3.75e+08,1.918e+09,2.16e+08,9.82e+08,4.144e+09,4.144e+09,2.483e+09,2.483e+09,-1.614e+09,1.0351e+10,24180699932,22566699932,2.6654,22.5566,0.025454,0.044333,3.6084,2.4875,11.7657,14.6252,20.0539,12.5371,14.3253,1.243275,2.467416,2.561346,3.1875,3.142857,1.889246,2.447227,-0.067124,0.031378,0.115765,0.151493,0.06238,0.073073,0.074074,0.274788,0.202312,-0.002234,0.423611,0.21142,0.167549,0.170084,0.118166,0.576389,0.055335,0.157407,0.256063,0.740331,0.938432,0.259669,0.7195,5.4932,3.5094,10.6043,2.9609,66.4459,104.0065,123.2721,47.1803,-0.1336,1.6861,1.5823,0.3156,0.3156,0.173685,-0.053357,0.227042,-0.030331,0.143354,0.24314,0.122378,0.085022,0,0.143354,0.452425,0.452425,8.333333,0,0.23988,0.23988,0,0,0.76012,1.2946,-0.8415,1.2946,2.2065,-1.4343,2.2065,5.5761,16.2421,11.8453,13.9684,9.5716,18.9474,16.6737,16.5821,2.4679,1.7117,0.108245,0.45679,0.45679,1125303867.4,0.124041,0.159612,1.215e+09,0.88,1.231e+09,0.87,1218200000,0.88,0.126595746574535,0.275689735538603,"0",1.62222297740821,2.53956,0.12112,2.52597,1.6416
"38",-0.095798,1965076677.3,0.0242,1.3249e+10,5.6484,-2.254e+09,4219076677.3,-287923322.7,-6.381e+09,3.003e+09,8.94e+08,3.897e+09,4.8e+08,4.067e+09,1.0558e+10,1.0426e+10,5.66e+09,5.528e+09,-5.208e+09,2.529e+10,29884993521.7,24731993521.7,0.368,13.294,0.021073,0.075222,1.8667,0.3046,6.3464,8.2358,12.5858,5.0034,5.8619,0.375574,0.560811,0.569992,0.663959,0.69802,-0.054152,-0.279732,-0.145391,-0.038472,0.113111,0.143129,0.122168,0.17039,0.182759,0.033884,-0.105017,0.091981,0.058718,0.047992,0.03362,0.036982,0.027746,0.941282,0.023805,0,0.025098,0.719808,1.042291,0.280192,1.8508,27.3957,7.344,8.125,7.8212,13.3232,49.7002,46.6678,16.3556,-0.278,2.2034,2.2966,0.2816,0.2883,0.136691,0.052009,0.084682,-0.023544,0.113148,0.293481,0.068445,0.051351,0.002335,0.112884,0.276964,0.802042,10.297917,0.005219,0.218584,0.223804,0,0.002175,0.774021,1.4524,-1.3364,1.4185,2.8803,-2.6503,2.8131,3.5907,8.911,5.8311,7.4866,4.4068,14.6677,13.2433,12.5195,1.6682,0.2768,0.050086,0.130023,0.128397,2040656549.5,0.025131,0.038546,6.53e+08,3.44,6.56e+08,3.43,653500000,3.44,0.541509075056502,0.655010160393466,"0",1.62222297740821,2.53956,0.12112,2.52597,1.6416
"40",-0.487893,70891509.4,0.054772,1377400000,0.9006,-119500000,190391509.4,7091509.4,728300000,129300000,129400000,258700000,2.15e+08,277700000,4.63e+08,423400000,1042600000,1.003e+09,728300000,1691700000,2431821266.2,3160121266.2,1.8789,38.1163,0,0.026235,2.2943,2.4416,12.2154,24.4402,44.5769,15.1347,16.598,-0.22983,-0.378365,-0.46337,-0.321998,-0.2875,-0.022929,5.269345,-0.079832,-0.459988,-0.182881,-0.315511,-0.421043,-0.184143,-0.191489,0.280196,4.978677,-0.109286,0.29599,0.199876,0.102758,0.0999,0.049293,0.70401,0.193232,0,0.193232,0.429919,1.147718,0.466981,0.4687,6.4747,2.7713,1.2462,2.6796,56.3729,131.7076,136.2141,51.8665,1.1737,4.1767,4.7936,1.5452,1.6062,0.049328,0.009139,0.040189,0.047171,0.096499,0.132479,0.046824,0.023104,0,0.096499,0.020376,0.020376,0.971163,0.023408,0.592895,0.616303,0,0,0.383697,4.0302,2.8152,3.8771,14.707,10.2734,14.1484,1.7464,2.8109,1.5411,-1.863,-3.1328,4.5391,-0.1348,4.1389,2.091,0.9804,0.214556,0.357722,0.327127,70891509.4,0.054772,0.114657,5.5e+07,1.15,55400000,1.14,55500000,1.15,0.0606155420781846,0.266384629351208,"0",1.62222297740821,2.53956,0.12112,2.52597,1.6416
"41",0.066085,555953343.7,0.024417,5770784000,3.8762,-206223000,762176343.7,57563343.7,1611873000,762257000,156048000,918305000,122505000,2807685000,3208040000,3194586000,2081352000,2067898000,1611873000,6240263000,5785931830,7402745830,0.2541,11.6173,0,0.086079,1.2828,0.3251,8.0613,9.7116,13.3154,10.9947,9.7126,0.113582,0.099145,0.167221,0.246361,0.293506,0.49393,21.715996,-0.034503,0.010811,-0.056327,-0.073989,-0.025133,-0.036039,-0.027344,0.561118,8.90018,-0.062157,0.13158,0.040332,0.033478,0.033478,0.021889,0.86842,0.086072,0,0.098101,0.729352,0.89646,0.270648,1.859,3.8547,8.7829,35.8933,4.1495,94.6908,41.5579,87.9634,48.2853,0.408,2.9359,2.6319,0.4972,0.5005,0.094648,0.03382,0.060828,0.024816,0.119464,0.129757,0.062235,0.040691,0.001143,0.119328,0,0.611495,5.49611,0.002156,0.33138,0.333536,0,0.000792,0.665672,2.2665,1.7553,2.2519,3.7438,2.8993,3.7196,3.2312,6.572,4.7933,5.5158,3.7371,5.8051,4.7489,6.5713,1.5472,1.1038,0.123314,0.140897,0.140306,641900862.7,0.028192,0.030012,98675000,5.05,99947000,4.98,98600000,5.05,0.302294005873208,0.71794264985317,"0",1.62222297740821,2.53956,0.12112,2.52597,1.6416
"50",0.055035,676049203.9,0.024038,5903090000,4.7075,-142327000,818376203.9,84281203.9,1198160000,826720000,140516000,967236000,159860000,3863458000,4766789000,4357605000,2101491000,1692307000,1198160000,6806421000,5700491698,6898651698,0.2027,9.633,0.018772,0.10381,1.1687,0.2453,7.1323,8.3446,10.2044,11.1984,8.4297,0.109666,0.112415,0.276836,0.292705,0.293578,3.577168,4.607396,-0.023543,0.004645,0.027528,0.035037,0.060502,0.070248,0.073604,0.907519,1.946012,-0.027305,0.116446,0.034392,0.029614,0.029396,0.021042,0.883554,0.083786,0,0.086832,0.811715,0.881839,0.188285,2.4481,4.9318,9.855,53.3829,6.5782,74.0089,37.037,55.4859,55.56,0.2802,2.4618,2.1709,0.3597,0.4467,0.11316,0.064456,0.048705,0.013647,0.126807,0.136984,0.071963,0.051511,-0.000278,0.126843,0.144258,0.343229,3.853628,0.060117,0.248634,0.308751,0,0,0.691414,2.1727,1.2387,1.7496,3.1085,1.7723,2.5032,4.0581,8.463,6.9206,6.8266,5.2842,6.3063,4.6699,8.3776,1.8835,1.3382,0.137373,0.169493,0.154944,745579918.7,0.026511,0.025922,136541000,4.29,138972000,4.23,136400000,4.29,0.587615493235125,0.849574906118562,"1",1.62222297740821,2.53956,0.12112,2.52597,1.6416
